ip= 1 ,W-index= 17.2 ,Rc(GV)= 4.381 ,depth(g/cm2)= 1033.23 ,g= 0.15
Total Flux (/cm2/s)= 0.000320497
  Energy(MeV/n)              u              v              w              x              y              z
   1.453103e+02   8.564835e-01   3.137426e-01  -4.098800e-01  -8.550808e+01  -3.867488e+01   3.569285e+01
   1.847131e+02  -4.472104e-01   8.037033e-01  -3.925097e-01   2.364422e+01  -1.127059e+02  -2.945173e+00
   2.615940e+01   8.145487e-01  -5.358965e-01   2.220932e-01  -1.036544e+02   2.853314e+01  -1.250214e+00
   1.887726e+02   2.288455e-01   9.221737e-01  -3.118099e-01  -9.807408e+01  -7.287227e+01   3.321029e+01
   1.078263e+02  -3.080356e-01   5.791042e-01  -7.548194e-01   6.628724e+01  -8.047124e+01   4.369248e+01
   1.005749e+03   2.264189e-02   4.707826e-01  -8.819586e-01  -3.253355e+01  -5.669190e+01   8.228710e+01
   2.501867e+02  -2.881479e-01   4.117003e-01  -8.645656e-01   3.955050e+01   6.169918e-01   1.027772e+02
   1.466940e+02   7.283970e-01   8.455101e-02  -6.799183e-01  -8.046169e+01  -9.379969e+01   4.921339e+01
   6.422914e+02   3.157837e-01  -1.643864e-01  -9.344826e-01  -6.345595e+01  -7.791170e+01   9.927341e+01
   3.366494e+02   5.375154e-01  -2.393302e-01  -8.085779e-01  -6.096477e+01  -6.381245e+01   1.020344e+02
   1.002183e+02   2.997775e-01   3.744445e-02  -9.532740e-01   3.890653e+01   4.273630e+01   1.188153e+02
   4.725824e+01   6.276956e-02  -9.170732e-01  -3.937469e-01   1.228708e+01   7.922853e+01   7.139838e+01
   1.938119e+02   1.456975e-01   9.884637e-01  -4.137398e-02  -7.110602e+01  -9.009921e+01   1.402417e+01
   2.483724e+02  -9.335159e-01  -2.153713e-01  -2.866413e-01   1.174784e+02  -4.560923e+01   5.404803e-01
   1.203739e+03  -3.321672e-01   1.733522e-01  -9.271537e-01   7.717783e+01  -5.319440e+01   7.026094e+01
   5.829092e+02  -2.734775e-02   2.824711e-01  -9.588859e-01  -7.356506e+01  -1.280031e+01   1.026150e+02
   6.741355e+00   5.992230e-01  -6.067756e-01  -5.222597e-01  -3.092405e+01   6.080285e+01   8.535200e+01
   8.522260e+01  -7.628388e-01  -2.547662e-01  -5.942821e-01   1.019444e+02  -5.845404e+00   3.991718e+01
   1.733975e+02  -8.061176e-02  -4.991486e-01  -8.627586e-01  -4.943579e+01   7.269668e+01   7.846767e+01
   3.104816e+02   5.967399e-01  -3.159608e-02  -8.018125e-01  -8.151977e+01  -7.535803e+01   6.701682e+01
   1.640495e+02  -2.169992e-01  -3.809383e-02  -9.754282e-01   1.843737e+01  -9.260058e+01   1.020338e+02
   7.557095e+01   7.733823e-01  -6.327509e-01   3.880819e-02  -8.128198e+01   6.288545e+01   6.835856e+01
   5.714613e+02   1.470004e-01  -2.314877e-01  -9.616675e-01  -9.894308e+01   5.234989e+00   8.760148e+01
   6.865001e+02  -1.323160e-01  -2.970072e-01  -9.456634e-01  -2.010001e+01   7.814630e+01   8.401461e+01
   2.456669e+02  -2.973975e-01  -4.018989e-01  -8.660439e-01   1.507261e+01   1.176529e+02   5.569334e+01
   1.459870e+01   9.553208e-01  -2.899690e-01  -5.727266e-02  -1.162503e+02  -3.155616e+01  -3.327995e+01
   1.853266e+02  -7.018973e-02  -6.592270e-01  -7.486609e-01  -5.680861e+00   7.114183e+01   7.146108e+01
   2.621948e+02   9.541518e-02  -8.793928e-01  -4.664379e-01   2.649807e+01   6.846882e+01   9.072448e+01
   2.762151e+02   1.096369e-01  -7.124419e-01  -6.931135e-01  -1.480252e+01   1.273078e+02   1.107711e+01
   9.375902e+01   5.037714e-01   7.824375e-01  -3.660682e-01  -7.711626e+01  -4.382755e+01   7.337079e+01
   5.620954e+01  -2.288341e-02  -6.041408e-01  -7.965489e-01   3.061961e-01   1.089237e+02   4.291980e+01
   3.942749e+02   1.584172e-01  -1.796412e-01  -9.708929e-01   6.534785e+00   4.598527e+01   9.555572e+01
   2.462409e+02   2.628135e-03   9.280470e-01  -3.724538e-01  -1.290993e+01  -8.666326e+01   5.245884e+01
   1.458679e+02  -2.673353e-01   9.147177e-01  -3.030238e-01   8.107391e+01  -7.413364e+01   3.469937e+01
   5.013070e+02   5.901245e-01   1.022274e-01  -8.008137e-01   1.608973e+01  -1.871588e+01   1.343404e+02
   3.559366e+02  -3.366780e-01  -6.555104e-01  -6.759838e-01   5.914730e+01   3.341312e+01   8.607271e+01
   4.224777e+02  -6.303861e-02  -2.815293e-01  -9.574797e-01   1.606768e+01  -7.239233e+00   1.055116e+02
   3.049076e+02  -1.824729e-01   4.297398e-01  -8.843231e-01   6.163598e+01  -3.174287e+01   8.493720e+01
   2.911309e+02  -5.759041e-01  -6.632412e-01  -4.779598e-01   6.609420e+01   6.603983e+01   3.794409e+01
   3.659137e+01   4.293602e-02  -1.409359e-01  -9.890872e-01  -6.401143e+01  -6.493706e+01   1.075775e+02
   5.173859e+02  -6.386047e-01   4.795823e-01  -6.018179e-01  -4.169458e+00  -6.822565e+01   1.162192e+02
   3.117402e+01   2.120674e-01   1.337061e-01  -9.680651e-01  -7.696398e+01  -4.191314e+01   8.064995e+01
   5.848060e+01   6.990203e-02  -6.954482e-01  -7.151682e-01   4.842939e+01   1.071685e+02   4.034743e+01
   5.266197e+01  -8.041288e-01   2.214753e-01  -5.516570e-01   8.179553e+01   3.256010e+00   6.334910e+01
   5.280885e+02  -1.210867e-01   3.630369e-01  -9.238735e-01  -2.911121e+01  -2.804276e+01   1.010359e+02
   1.752253e+02  -4.375722e-04  -1.935546e-02  -9.998126e-01   2.088662e+01  -6.774986e+01   1.013212e+02
   2.015203e+02  -4.979091e-01   1.286976e-01  -8.576267e-01   9.025663e+01  -9.521270e+01   4.991305e+01
   3.703650e+02   6.744411e-01   3.776884e-01   6.344136e-01  -1.173401e+02  -2.821813e+01  -1.608312e+01
   1.047060e+03   6.445833e-01   1.030691e-01  -7.575547e-01  -1.137680e+02   6.264007e+01   4.372396e+01
   1.394826e+03  -2.150976e-01  -4.447457e-04  -9.765924e-01  -1.127954e+01   5.386278e+00   1.048788e+02
   1.197929e+02   2.037815e-01   2.944062e-01  -9.337013e-01   6.218683e+01  -6.445524e+01   1.003495e+02
   5.372891e+02  -1.657653e-01   1.926004e-01  -9.671747e-01   5.737637e+01  -9.320203e+01   7.500015e+01
   1.598502e+02   2.729759e-01  -7.065073e-01  -6.529407e-01   5.608767e+01   7.848473e+01   9.167838e+01
   5.182951e+00  -6.367485e-01   4.019325e-01   6.580286e-01   1.542716e+01  -1.930616e+01  -1.252484e+02
   1.713035e+02   1.666910e-01   8.128903e-01  -5.580532e-01  -2.892772e+01  -7.316084e+01   6.398363e+01
   1.697596e+02   2.493873e-01   3.580085e-01  -8.997977e-01   2.102052e+01   2.556785e+01   1.271350e+02
   1.760816e+01   3.264722e-01   2.980002e-01  -8.970016e-01   5.673705e+01  -6.013242e+01   1.121554e+02
   1.448662e+03  -2.179033e-01   3.075106e-01  -9.262588e-01   9.031685e+01   3.681642e+01   9.893682e+01
   2.510099e+02  -3.202008e-02  -7.634448e-01  -6.450789e-01   1.985194e+01   7.706451e+01   6.282928e+01
   3.488049e+03  -5.095212e-02   2.179392e-01  -9.746314e-01   2.652749e+01   7.113333e+01   1.171223e+02
   8.306715e+02  -2.588603e-01   3.855153e-01  -8.856463e-01   1.111721e+01   1.957606e+01   1.181838e+02
   7.580076e+00  -1.835407e-01   6.387684e-01  -7.471866e-01   1.799721e+01  -1.032156e+02   4.117567e+01
   3.603955e+01   4.907980e-01  -6.183352e-01  -6.138232e-01  -2.558228e+01   9.296922e+01   4.880580e+01
   2.505680e+02   6.239426e-02  -4.006325e-01  -9.141119e-01  -5.512534e+01   4.321852e+01   8.669152e+01
   8.697762e+02  -2.606118e-01   2.464100e-01  -9.334686e-01   8.662945e+01  -8.259394e+01   6.113904e+01
   1.566109e+03   3.646746e-01  -1.854508e-01  -9.124804e-01  -5.902840e+01  -7.158108e+01   1.005486e+02
   1.094785e+03   1.623991e-01   1.091281e-02  -9.866648e-01   7.877166e+01  -1.580782e+01   1.141420e+02
